seller_id,eligible_orders,late_orders,late_delivery_rate,dispatch_sla_breach_rate,median_processing_days,at_risk_order_value,platform_late_delivery_rate,priority_group
a420f60ff1aa9acc80d0e42959f2b313,67,5,7.4626865671641791,0E-20,0.9129513888888889,588.88,6.7730900798175599,Process Watch
febab0275244b9a49a623f0bd613ca2f,106,4,3.7735849056603774,1.8867924528301887,0.9511226851851852,584.88,6.7730900798175599,Process Watch
1eade46fba20122dc4aefb379f8c636b,58,7,12.0689655172413793,0E-20,1.1121990740740741,578.07,6.7730900798175599,Process Watch
31344c16881c08a8a72c6d2eb29918c1,42,2,4.7619047619047619,7.1428571428571429,2.8517939814814817,575.42,6.7730900798175599,Process Watch
92eb0f42c21942b6552362b9b114707d,334,16,4.7904191616766467,26.6467065868263473,5.086087962962963,573.97,6.7730900798175599,Process Watch
06579cb253ecd5a3a12a9e6eb6bf8f47,61,4,6.5573770491803279,4.9180327868852459,1.5441666666666667,555.42,6.7730900798175599,Process Watch
4e17c65a516f69d023a2ae78b84f28d6,61,3,4.9180327868852459,13.1147540983606557,1.1846643518518518,552.46,6.7730900798175599,Process Watch
701938c450705b8ae65fc923b70f35c7,74,3,4.0540540540540541,13.5135135135135135,2.6610069444444444,551.95,6.7730900798175599,Process Watch
5656537e588803a555b8eb41f07a944b,171,10,5.8479532163742690,4.6783625730994152,0.9754513888888889,551.00,6.7730900798175599,Process Watch
5a8e7d5003a1f221f9e1d6e411de7c23,137,5,3.6496350364963504,5.8394160583941606,1.595949074074074,549.75,6.7730900798175599,Process Watch
85d9eb9ddc5d00ca9336a2219c97bb13,499,11,2.2044088176352705,13.2264529058116232,5.439386574074074,547.94,6.7730900798175599,Process Watch
688756f717c462a206ad854c5027a64a,81,3,3.7037037037037037,12.3456790123456790,4.168807870370371,545.78,6.7730900798175599,Process Watch
3fd1e727ba94cfe122d165e176ce7967,35,7,20.0000000000000000,0E-20,1.8545486111111111,530.48,6.7730900798175599,Process Watch
09f952a5f58d2285b0372551ae8f9b01,50,3,6.0000000000000000,10.0000000000000000,1.8303703703703704,526.40,6.7730900798175599,Process Watch
e8b3a3a38279a82f0e5d006d5e5b7d2c,80,3,3.7500000000000000,15.0000000000000000,5.046782407407408,522.17,6.7730900798175599,Process Watch
aafe36600ce604f205b86b5084d3d767,129,5,3.8759689922480620,4.6511627906976744,1.1259375,522.07,6.7730900798175599,Process Watch
7202e2ba20579a9bd1acb29e61fe71f6,51,2,3.9215686274509804,3.9215686274509804,1.0803761574074073,513.88,6.7730900798175599,Process Watch
2a7dc43cecabf23403078e2188437d1d,52,3,5.7692307692307692,13.4615384615384615,3.5063773148148147,510.34,6.7730900798175599,Process Watch
aced59e9b31ef866a94f9e7f29d8d418,61,2,3.2786885245901639,3.2786885245901639,2.0220023148148147,492.47,6.7730900798175599,Process Watch
1c129092bf23f28a5930387c980c0dfc,200,9,4.5000000000000000,25.0000000000000000,3.607135416666667,490.03,6.7730900798175599,Process Watch
a2e874074c877c5a05abae80ad6e488f,40,2,5.0000000000000000,15.0000000000000000,7.43082175925926,481.07,6.7730900798175599,Process Watch
382229d1e840115ffe3dbf5ff460e417,45,3,6.6666666666666667,2.2222222222222222,0.942488425925926,464.14,6.7730900798175599,Process Watch
dfc5fb7259bb2b599ca565e6e9448f0f,33,1,3.0303030303030303,12.1212121212121212,3.273252314814815,461.72,6.7730900798175599,Process Watch
6d803cb79cc31c41c4c789a75933b3c7,58,4,6.8965517241379310,0E-20,1.1339525462962963,453.99,6.7730900798175599,Process Watch
d94a40fd42351c259927028d163af842,100,3,3.0000000000000000,7.0000000000000000,1.9895659722222223,449.54,6.7730900798175599,Process Watch
b74d1c09cb380e1d03a6f859c6f4224b,30,4,13.3333333333333333,0E-20,0.788738425925926,448.55,6.7730900798175599,Process Watch
02f623a8eb246f3c5f7c2f96462654e6,44,3,6.8181818181818182,0E-20,0.6910590277777777,445.79,6.7730900798175599,Process Watch
dbb9b48c841a0e39e21f98e1a6b2ec3e,108,4,3.7037037037037037,5.5555555555555556,1.363125,440.15,6.7730900798175599,Process Watch
bd23da7354813347129d751591d1a6e2,86,2,2.3255813953488372,3.4883720930232558,1.4191087962962963,439.50,6.7730900798175599,Process Watch
d3f39f05462b79a4562d35893a28f159,33,4,12.1212121212121212,0E-20,0.8252777777777778,435.96,6.7730900798175599,Process Watch
80e6699fe29150b372a0c8a1ebf7dcc8,96,3,3.1250000000000000,3.1250000000000000,1.2457523148148149,423.82,6.7730900798175599,Process Watch
86ccac0b835037332a596a33b6949ee1,178,4,2.2471910112359551,2.2471910112359551,2.1408912037037036,423.37,6.7730900798175599,Process Watch
2a84855fd20af891be03bc5924d2b453,155,4,2.5806451612903226,3.2258064516129032,1.1369560185185186,417.73,6.7730900798175599,Process Watch
abcd2cb37d46c2c8fb1bf071c859fc5b,44,2,4.5454545454545455,4.5454545454545455,1.1814930555555556,415.58,6.7730900798175599,Process Watch
b39d7fe263ef469605dbb32608aee0af,43,2,4.6511627906976744,4.6511627906976744,1.7292013888888889,414.91,6.7730900798175599,Process Watch
670c26e0f1bf8d0576271d5cfaec6d2b,77,4,5.1948051948051948,1.2987012987012987,1.0004861111111112,414.05,6.7730900798175599,Process Watch
7e3f87d16fb353f408d467e74fbd8014,91,6,6.5934065934065934,1.0989010989010989,1.504513888888889,412.77,6.7730900798175599,Process Watch
63b464dbf392c7b80d12d932fa7cafed,36,2,5.5555555555555556,8.3333333333333333,4.0180439814814815,406.74,6.7730900798175599,Process Watch
0176f73cc1195f367f7b32db1e5b3aa8,37,4,10.8108108108108108,0E-20,1.4181828703703703,404.13,6.7730900798175599,Process Watch
9d4db00d65d7760644ac0c14edb5fd86,97,4,4.1237113402061856,1.0309278350515464,0.9704282407407407,402.40,6.7730900798175599,Process Watch
83deb69e889cf80f82be1dc6d5f2d486,40,2,5.0000000000000000,22.5000000000000000,4.35009837962963,399.89,6.7730900798175599,Process Watch
f181738b150df1f37cb0bd72e705b193,36,3,8.3333333333333333,0E-20,0.75953125,395.59,6.7730900798175599,Process Watch
d921b68bf747894be13a97ae52b0f386,77,1,1.2987012987012987,2.5974025974025974,0.762974537037037,393.29,6.7730900798175599,Process Watch
c66dccfb3f109511246da627dd5a2498,44,2,4.5454545454545455,2.2727272727272727,1.04,388.39,6.7730900798175599,Process Watch
0adac9fbd9a2b63cccaac4f8756c1ca8,106,6,5.6603773584905660,15.0943396226415094,3.813900462962963,387.65,6.7730900798175599,Process Watch
4e7c18b98d84e05cbae3ff0ff03846c2,81,3,3.7037037037037037,3.7037037037037037,1.2281944444444444,385.39,6.7730900798175599,Process Watch
ff063b022a9a0aab91bad2c9088760b7,94,3,3.1914893617021277,6.3829787234042553,1.1688773148148148,381.65,6.7730900798175599,Process Watch
562fc2f2c2863ab7e79a9e4388a58a14,255,8,3.1372549019607843,2.7450980392156863,0.9929861111111111,379.83,6.7730900798175599,Process Watch
ebd2d60905fb58271facef5596b620d3,82,3,3.6585365853658537,4.8780487804878049,0.9363310185185185,377.49,6.7730900798175599,Process Watch
7dc8c42cc750eeafea6c85712ffee9bf,41,2,4.8780487804878049,14.6341463414634146,1.8978530092592591,373.86,6.7730900798175599,Process Watch
0db783cfcd3b73998abc6e10e59a102f,132,5,3.7878787878787879,10.6060606060606061,1.9070601851851852,373.25,6.7730900798175599,Process Watch
9e6229250fedbe05838fef417b74e7fb,73,2,2.7397260273972603,10.9589041095890411,2.342199074074074,366.91,6.7730900798175599,Process Watch
276677b5d08786d5dce7c2149dcce48b,31,2,6.4516129032258065,3.2258064516129032,1.2910300925925926,357.19,6.7730900798175599,Process Watch
3c7c4a49ec3c6550809089c6a2ca9370,139,8,5.7553956834532374,2.1582733812949640,1.318298611111111,355.64,6.7730900798175599,Process Watch
7008613ea464bad5cb9b83456e1e6a8f,123,6,4.8780487804878049,3.2520325203252033,1.9725578703703703,350.73,6.7730900798175599,Process Watch
18a349e75d307f4b4cc646a691ed4216,109,6,5.5045871559633028,4.5871559633027523,1.3391666666666666,348.13,6.7730900798175599,Process Watch
8a32e327fe2c1b3511609d81aaf9f042,126,4,3.1746031746031746,3.1746031746031746,1.187783564814815,346.11,6.7730900798175599,Process Watch
aaed1309374718fdd995ee4c58c9dfcd,104,3,2.8846153846153846,2.8846153846153846,0.9904456018518519,343.52,6.7730900798175599,Process Watch
7722b1df1b0e383e000397b2c11e3e19,133,4,3.0075187969924812,2.2556390977443609,1.48640625,340.59,6.7730900798175599,Process Watch
5c243662ce92d84573bfaff24c3e3700,98,1,1.0204081632653061,5.1020408163265306,2.1321412037037035,340.49,6.7730900798175599,Process Watch
5cf13accae3222c70a9cac40818ae839,148,3,2.0270270270270270,0.67567567567567567568,1.2940277777777778,338.92,6.7730900798175599,Process Watch
b6d44737c043328708f6749c2dbe50bd,61,4,6.5573770491803279,1.6393442622950820,0.9297858796296297,338.13,6.7730900798175599,Process Watch
32b8764b4ef628b53608fc34011fcc13,36,1,2.7777777777777778,5.5555555555555556,1.449872685185185,337.33,6.7730900798175599,Process Watch
99002261c568a84cce14d43fcffb43ea,36,2,5.5555555555555556,47.2222222222222222,5.8735995370370375,335.57,6.7730900798175599,Process Watch
b8bc237ba3788b23da09c0f1f3a3288c,45,1,2.2222222222222222,2.2222222222222222,1.0101041666666666,335.48,6.7730900798175599,Process Watch
45d33f715e24d15a6ccf5c17b3a23e3c,56,3,5.3571428571428571,21.4285714285714286,2.058622685185185,331.91,6.7730900798175599,Process Watch
b92e3c8f9738272ff7c59e111e108d7c,62,2,3.2258064516129032,9.6774193548387097,3.1235185185185186,331.42,6.7730900798175599,Process Watch
3c487ae8f8d7542beff5788e2e0aea83,30,1,3.3333333333333333,13.3333333333333333,2.2552488425925925,325.73,6.7730900798175599,Process Watch
640e21a7d01df7614a3b4923e990d40c,115,5,4.3478260869565217,3.4782608695652174,0.9123032407407408,323.20,6.7730900798175599,Process Watch
080102cd0a76b09e0dcf55fcacc60e05,122,5,4.0983606557377049,0.81967213114754098361,0.8780902777777777,320.61,6.7730900798175599,Process Watch
